대분류,중분류,소분류,기능,설명,작업상태,우선순위,전제조건,인수조건
인프라,런타임,서비스기동,API 게이트웨이/앱 서비스 기동,모든 도메인 API를 단일 게이트웨이로 노출한다.,진행중,P0,배포 파이프라인 구성,1) 헬스체크 200 2) 라우팅 정상 3) 배포 롤백 가능
인프라,런타임,환경설정,환경변수/시크릿 관리,DB/외부API 키를 시크릿 저장소에서 주입한다.,진행중,P0,시크릿 매니저 구성,1) 평문 키 미노출 2) 키 교체 무중단 3) 권한 분리
인프라,보안,인증,JWT 검증 미들웨어,모든 보호 API의 토큰 서명/만료를 검증.,진행중,P0,OIDC 키셋 접근,1) 만료토큰 401 2) 위조토큰 차단 3) 토큰 없는 요청 차단
인프라,보안,인가,RBAC 정책 엔진,role-resource-action 기반 권한 검사 수행. supervisor는 담당 매장 범위만 접근 허용.,진행중,P0,권한 매트릭스 정의,1) 권한없음 403 2) SV 담당 외 매장 차단 3) 정책 변경 즉시 반영 4) 감사로그 저장
인프라,감사,로깅,구조화 감사로그 적재,사용자/행위/결과/traceId를 구조화 저장.,진행중,P0,로그 스키마 확정,1) API별 traceId 2) 민감정보 마스킹 3) 장기 보관
인프라,모니터링,메트릭,지연/에러율 메트릭 수집,핵심 API SLA 관측용 메트릭 수집.,미착수,P0,APM 연동,1) p95 지연 측정 2) 에러율 임계치 알람 3) 서비스별 대시보드
인프라,모니터링,알람,장애 알람 정책,에러 급증/큐 적체/배치 실패시 알람 발송.,미착수,P0,알람 채널 구성,1) 1분 내 알람 2) 중복 알람 억제 3) 복구 알림 발송
데이터,수집,파일업로드,파일 업로드 처리 API,CSV/Excel Raw 파일 업로드를 수신하고 처리 파이프라인을 트리거한다. (MVP 핵심 데이터 투입 경로),진행중,P0,파일 저장소/파이프라인 구성,1) 파일 형식 검증(CSV/XLSX) 2) 파일 크기 제한 적용 3) 처리 jobId 즉시 반환
데이터,수집,파일업로드,업로드 처리 상태 관리 API,업로드 작업의 진행 상태(대기/처리중/완료/오류) 및 오류 상세를 추적한다. 파이프라인 6단계(정규화/KPI집계/마진가드/RFM/이상탐지/브리핑예약) 각각의 상태를 개별 반환.,진행중,P0,잡 상태 저장소,1) 파이프라인 단계별 상태(completed/processing/pending/failed) 개별 반환 2) 처리중 단계 예상 완료 시간(초) 반환 3) 오류 행/필드/사유 반환 4) 재처리 트리거 지원 5) 완료 시 웹훅/SSE 알림 발송
데이터,수집,파일업로드,매장/기간 매핑 API,업로드 파일에 매장ID·데이터 기간 매핑 정보를 저장하고 유효성을 검증한다.,진행중,P0,매장 마스터 연동,1) 매핑 유효성 검증 2) 기간 중복 경고 3) 매핑 이력 저장
데이터,수집,파일파서,매출 데이터 파일 파서,CSV/Excel 형식의 매출 Raw 데이터를 파싱·정규화한다.,진행중,P0,표준 스키마 정의,1) 컬럼 자동 매핑 2) 파싱 오류 격리 3) 결과 품질 리포트 반환
데이터,수집,파일파서,원가/메뉴 파일 파서,메뉴 마스터 및 원가 CSV/Excel 파일을 파싱·정규화한다.,진행중,P0,메뉴 마스터 스키마,1) 중복 메뉴ID 처리 2) 이전 버전 비교 3) 변경 이력 저장
데이터,수집,파일파서,고객/포인트 파일 파서,고객 포인트·CRM 데이터 CSV 파일을 파싱·PII 마스킹·정규화한다.,진행중,P1,개인정보 마스킹 정책,1) PII 자동 마스킹(이름/전화/이메일) 2) 동의 상태 컬럼 필터 3) 고객키 정합성 검증
데이터,수집,파일파서,리뷰 데이터 파일 파서,리뷰 텍스트 CSV 파일을 파싱·정규화한다.,진행중,P1,리뷰 스키마 정의,1) 날짜 형식 변환 2) 중복 리뷰 제거 3) 파싱 실패 격리
데이터,수집,외부API,날씨/이벤트 외부 데이터 수집,매장 지역 기준 날씨·이벤트 공개 API 데이터를 자동 수집한다. (MVP에서 유일한 자동 수집 경로),미착수,P1,외부 API 키/쿼터,1) 지역 매핑 정확도 2) 호출 실패 백오프 3) 결측 보정
데이터,수집,커넥터,POS 실시간 커넥터 (Phase 2),거래/취소/할인 이벤트를 실시간 자동 수집한다. MVP 이후 구현.,미착수,P2,POS 접근권한 확보/Phase 2,1) 증분 수집 2) 중복 제거 3) 지연 데이터 재수집
데이터,수집,커넥터,BO 원가/메뉴 실시간 커넥터 (Phase 2),원가·메뉴마스터·정책 데이터를 실시간 자동 수집한다. MVP 이후 구현.,미착수,P2,BO API/DB 접근/Phase 2,1) 변경감지 동기화 2) 스키마 검증 3) 실패시 재시도
데이터,수집,커넥터,도도포인트 실시간 커넥터 (Phase 2),고객 포인트 적립/소진 이력을 실시간 자동 수집한다. MVP 이후 구현.,미착수,P2,포인트 시스템 연동/Phase 2,1) 고객키 정합성 2) 금액 검증 3) 누락 탐지
데이터,수집,커넥터,CRM 고객 속성 실시간 커넥터 (Phase 2),연락채널/동의여부/등급 등 CRM 속성을 실시간 자동 수집한다. MVP 이후 구현.,미착수,P2,개인정보 처리 정책 합의/Phase 2,1) 동의 상태 반영 2) 비동의 대상 제외 3) 스키마 버전 관리
데이터,정제,표준화,공통 스키마 정규화,소스별 필드를 표준 도메인 모델로 변환.,진행중,P0,표준 데이터모델 정의,1) 필드 매핑 완결 2) 타입 오류 격리 3) 버전 호환
데이터,정제,품질,데이터 품질 규칙 엔진,결측/이상치/중복 규칙 기반 품질 점수(0~100) 계산 및 업로드 미리보기용 결과 반환. 품질 점수 70점 미만 시 업로드 적용 차단 응답 반환.,진행중,P0,품질 기준치 정의,1) 점수 산출(0~100) 2) 70점 미만 시 차단 응답 반환(사유 포함) 3) 오류 유형(누락/불일치/형식오류)과 영향도(무시가능/처리필요) 분류 4) 품질 리포트 저장 5) 미리보기 상위 10행 반환
데이터,정제,충분성,데이터 충분성 검증 API,AI 분석 실행 전 업로드 데이터의 볼륨·기간이 분석 최소 요건을 충족하는지 검증한다.,진행중,P0,분석별 최소 요건 정의,1) 충분/부족/불가 상태 반환 2) 부족 사유 및 권장 업로드 안내 3) 분석 가능 범위 반환
데이터,저장소,이력보관,보관주기 정책 실행,직영 5년/가맹 13개월 보관정책 자동 적용.,미착수,P0,법무/정책 확정,1) 기간 도래 데이터 아카이브 2) 삭제 감사로그 3) 복구정책
데이터,집계,시간대집계,시간대 KPI 집계 배치,매출/객수/PQ를 시간대 단위로 집계.,진행중,P0,원천 테이블 준비,1) 일 단위 완료시간 준수 2) 재실행 동일성 3) 누락 제로
데이터,집계,캠페인집계,캠페인 성과 집계 배치,발송/사용/재방문/매출기여 지표 생성.,진행중,P1,캠페인 로그 연계,1) 채널별 분리 집계 2) 중복 사용 제거 3) 기간 필터 지원
도메인,매출분석,마진가드,실질 마진 계산 API,원가/판매가/수수료/할인을 반영해 마진 계산.,진행중,P0,비용 요소 정의,1) 계산식 버전 포함 2) 메뉴별 위험도 반환 3) 권장가 제시
도메인,매출분석,PQ분해,객수·객단가 분해 API,매출 변화 기여도를 객수/객단가로 분해.,미착수,P1,비교 기간 파라미터,1) 분해합계 일치 2) 양/음 기여 구분 3) 근거값 반환
도메인,매출분석,ABC,ABC 메뉴 분류 API,판매량/마진율 교차로 메뉴군 분류.,미착수,P0,메뉴 판매 이력,1) 분류 기준 파라미터화 2) 분류 이유 반환 3) 이력 저장
도메인,매출분석,시뮬레이션,POS 변경 영향 시뮬레이션 API,자연어 POS 변경 명령을 파싱하고 마진·매출 영향을 시뮬레이션한다. (MVP 핵심: 실제 POS 적용 없음),진행중,P0,의도/엔티티 파서 + 수요탄력 모델,1) 파싱 결과 및 시뮬레이션 수치 반환 2) 현재가 vs 변경가 비교 3) Phase 2 적용 준비 데이터 보존
도메인,운영분석,회전율,테이블 회전율 분석 API,체류시간/시차 분석으로 회전율 개선 포인트 제공.,미착수,P1,테이블 이벤트 데이터,1) 시간대별 지표 반환 2) 피크 구간 식별 3) 권고안 포함
도메인,고객분석,RFM,RFM 세그먼트 산출 배치,고객을 VIP/우수/이탈우려로 분류.,진행중,P0,고객 키 매칭,1) 세그먼트 누락 없음 2) 재산출 가능 3) 기준 버전 저장
도메인,고객분석,이탈징후,방문 지연 탐지 API,고객별 방문주기 대비 지연 감지.,진행중,P0,주기 학습 데이터,1) 위험점수 산출 2) 사유 코드 제공 3) 제외 룰 반영
