issue_id,domain,service,category,severity,priority,status,test_type,environment,summary,precondition,steps_to_reproduce,expected_result,actual_result,evidence,affected_file,affected_line,owner,recommended_action,detected_on
AGB-001,frontend,agentgo-biz-front,build,Critical,P0,Resolved,Static Build,local,"HQ Control Tower 페이지의 누락 import를 정리해 프론트 빌드가 정상화됨","Node modules 설치 완료","1. /Users/hanna/Documents/agentgo-biz-front 에서 npm run build 실행","프로덕션 빌드가 성공해야 함","빌드 성공","vite build success on 2026-03-17","/Users/hanna/Documents/agentgo-biz-front/src/pages/HqControlTowerPage.tsx","1","Frontend","완료","2026-03-17"
AGB-002,frontend,agentgo-biz-front,lint,High,P1,Resolved,Static Lint,local,"AuthContext 초기 로딩 처리 구조를 바꿔 lint 게이트가 정상화됨","Node modules 설치 완료","1. /Users/hanna/Documents/agentgo-biz-front 에서 npm run lint 실행","lint가 통과해야 함","lint 통과","eslint success on 2026-03-17","/Users/hanna/Documents/agentgo-biz-front/src/contexts/AuthContext.tsx","1","Frontend","완료","2026-03-17"
AGB-003,frontend,agentgo-biz-front,lint,Medium,P2,Resolved,Static Lint,local,"Benchmark 페이지의 effect 상태 처리 문제를 제거함","Node modules 설치 완료","1. /Users/hanna/Documents/agentgo-biz-front 에서 npm run lint 실행","lint가 통과해야 함","lint 통과","eslint success on 2026-03-17","/Users/hanna/Documents/agentgo-biz-front/src/pages/BenchmarkPage.tsx","45","Frontend","완료","2026-03-17"
AGB-004,frontend,agentgo-biz-front,lint,Medium,P2,Resolved,Static Lint,local,"프론트 전반의 unused symbol, any 타입, 잘못된 타입 import를 정리함","Node modules 설치 완료","1. /Users/hanna/Documents/agentgo-biz-front 에서 npm run lint 실행","lint가 통과해야 함","lint 통과","eslint success on 2026-03-17","/Users/hanna/Documents/agentgo-biz-front/src/pages/RfmSegmentPage.tsx","1","Frontend","완료","2026-03-17"
AGB-005,backend,agentgo-biz-backend,test_setup,High,P1,Resolved,Smoke Test,local,"pytest 경로 설정과 smoke test 경로를 정리해 기본 테스트 진입이 가능해짐","백엔드 venv 존재","1. /Users/hanna/Documents/agentgo-biz-backend 에서 ./venv/bin/pytest -q tests/test_api_smoke.py 실행","기본 테스트 명령만으로 smoke test가 실행되어야 함","5개 smoke test 통과","pytest.ini 추가 및 smoke tests passed on 2026-03-17","/Users/hanna/Documents/agentgo-biz-backend/pytest.ini","1","Backend","완료","2026-03-17"
AGB-006,backend,agentgo-biz-backend,dependency,Critical,P0,Resolved,Smoke Test,local,"openpyxl/greenlet 의존성 및 import 시점 처리를 정리해 앱 부팅과 smoke test가 정상화됨","백엔드 venv 존재","1. /Users/hanna/Documents/agentgo-biz-backend 에서 ./venv/bin/pytest -q tests/test_api_smoke.py 실행","FastAPI 앱이 import되고 주요 smoke test가 통과해야 함","5개 smoke test 통과","greenlet and openpyxl installed, resource_data_service lazy import applied","/Users/hanna/Documents/agentgo-biz-backend/app/services/resource_data_service.py","1","Backend","완료","2026-03-17"
AGB-007,backend,agentgo-biz-backend,maintainability,Low,P3,Resolved,Runtime Warning,local,"Pydantic v2 deprecation warning을 유발하던 class-based Config를 최신 설정으로 교체함","백엔드 smoke test 실행","1. ./venv/bin/pytest -q tests/test_api_smoke.py 실행","경고 없이 최신 설정 방식 사용","해당 deprecation warning 제거","backend smoke tests passed without previous Pydantic Config warnings","/Users/hanna/Documents/agentgo-biz-backend/app/core/config.py","1","Backend","완료","2026-03-17"
AGB-008,ai,agentgo-biz-ai,test_env,Low,P3,Resolved,Unit Test,local,"AI pytest cache 경로를 /tmp 로 지정해 권한 경고를 제거함","python3 및 pytest 사용 가능","1. /Users/hanna/Documents/agentgo-biz-ai 에서 python3 -m pytest -q 실행","테스트 통과 및 불필요한 권한 경고 없음","21개 테스트 통과, cache warning 없음","python3 -m pytest -q success on 2026-03-17","/Users/hanna/Documents/agentgo-biz-ai/pytest.ini","1","AI","완료","2026-03-17"
AGB-009,frontend,agentgo-biz-front,performance,Low,P3,Resolved,Static Build,local,"라우트 단위 lazy loading과 manualChunks 적용으로 프론트 번들 경고를 해소함","Node modules 설치 완료","1. /Users/hanna/Documents/agentgo-biz-front 에서 npm run build 실행","권장 번들 크기 내에서 빌드되어야 함","메인 index JS 청크가 313.63 kB로 감소했고 build 경고가 사라짐","vite build success without chunk warning on 2026-03-17","/Users/hanna/Documents/agentgo-biz-front/src/App.tsx","1","Frontend","완료","2026-03-17"
AGB-010,backend,agentgo-biz-backend,test_env,Low,P3,Resolved,Smoke Test,local,"백엔드 pytest cache 경로를 /tmp 로 지정해 권한 경고를 제거함","백엔드 venv 존재","1. ./venv/bin/pytest -q tests/test_api_smoke.py 실행","테스트 통과 및 불필요한 권한 경고 없음","5개 테스트 통과, cache warning 없음","./venv/bin/pytest -q tests/test_api_smoke.py success on 2026-03-17","/Users/hanna/Documents/agentgo-biz-backend/pytest.ini","1","Backend","완료","2026-03-17"
