"대분류","중분류","소분류","기능","설명","작업상태","우선순위","전제조건","인수조건"
"공통","인증","로그인","이메일/비밀번호 로그인","역할 기반 로그인 후 권한별 진입 화면으로 이동한다.","진행중","P0","계정/역할 마스터 등록","1) 정상 계정 로그인 성공 2) 실패 시 사유 메시지 노출 3) 5회 실패 시 잠금 처리"
"공통","인증","로그인","2차 인증(OTP)","본사 관리자 계정은 OTP 2차 인증을 수행한다.","미착수","P1","OTP 발급 채널 구성","1) 관리자 로그인 시 OTP 단계 진입 2) 만료코드 거절 3) 재전송 제한 적용"
"공통","인증","세션","세션 만료 처리","세션 만료 시 작업중 데이터 보호 후 재로그인 유도한다.","미착수","P0","토큰 만료 정책 정의","1) 만료 5분 전 알림 2) 만료 시 읽기전용 전환 3) 재로그인 후 복구"
"공통","인증","비밀번호","비밀번호 변경/초기화","점주/본사 사용자 비밀번호 변경 및 재설정 지원.","미착수","P1","메일/문자 인증 연동","1) 복잡도 규칙 검증 2) 재설정 링크 만료 3) 변경 이력 기록"
"공통","내비게이션","전역","역할별 메뉴 구성","점주/본사/슈퍼바이저별 좌측 메뉴를 분기 노출한다.","진행중","P0","RBAC 정책 반영","1) 권한 없는 메뉴 비노출 2) URL 직접 접근 차단 3) 현재 메뉴 하이라이트"
"공통","내비게이션","전역","매장/기간 전역 필터","모든 분석 위젯에 동일한 매장/기간 필터 컨텍스트를 적용한다.","진행중","P0","전역 상태관리 구성","1) 필터 변경 시 전체 위젯 동기화 2) 새로고침 후 유지 3) 권한 밖 매장 숨김"
"공통","알림","센터","실시간 알림 인박스","이상결제/워크플로우/공지처리/업로드 결과를 실시간 수신한다.","미착수","P1","웹소켓 또는 SSE 구성","1) 신규 알림 즉시 표시 2) 읽음 처리 반영 3) 알림 유형별 아이콘 구분"
"공통","알림","센터","알림 상세 드릴다운","알림 클릭 시 해당 매장/이벤트 상세 화면으로 이동한다.","진행중","P1","알림 payload 표준화","1) 클릭 시 정확한 라우팅 2) 삭제된 대상 처리 3) 권한 재검증"
"데이터관리","업로드","파일업로드","매출 데이터 파일 업로드","CSV/Excel 형식의 POS 매출 Raw 데이터를 매장·기간 매핑 후 업로드한다.","진행중","P0","파일 파서 API 연동","1) 지원 형식 검증(CSV/XLSX) 2) 매장ID·기간 자동 추출 또는 수동 입력 3) 업로드 실패 사유 표시"
"데이터관리","업로드","파일업로드","원가/메뉴 데이터 파일 업로드","메뉴 마스터 및 원가 Raw 데이터를 업로드한다.","진행중","P0","파일 파서 API 연동","1) 메뉴ID 정합성 검증 2) 이전 버전 덮어쓰기 확인 모달 3) 처리 결과 통보"
"데이터관리","업로드","파일업로드","고객/포인트 데이터 파일 업로드","고객 포인트 적립/사용 및 CRM 속성 Raw 데이터를 업로드한다.","진행중","P1","개인정보 처리방침 확인","1) 개인정보 마스킹 검증 결과 표시 2) 동의 상태 컬럼 필수 안내 3) 처리 완료 통보"
"데이터관리","업로드","파일업로드","리뷰 데이터 파일 업로드","플랫폼 리뷰 텍스트 데이터를 CSV 형식으로 업로드한다.","진행중","P1","리뷰 파서 API 연동","1) 텍스트 컬럼 필수 검증 2) 날짜 형식 오류 안내 3) 중복 리뷰 제거 알림"
"데이터관리","업로드","검증","업로드 데이터 미리보기 및 품질 검증","업로드 후 파싱된 데이터 상위 10행과 품질 점수를 확인한다.","진행중","P0","데이터 품질 API 연동","1) 상위 10행 미리보기 표시 2) 품질 점수 및 오류 목록 표시 3) 확인 후 적용 진행"
"데이터관리","업로드","이력","업로드 이력 및 처리 현황","업로드한 파일 목록·처리 상태·오류 요약을 조회하고 재처리할 수 있다.","진행중","P1","업로드 이력 API","1) 업로드자/일시 표시 2) 상태별 필터(완료/오류/처리중) 3) 오류 건 재처리 버튼"
"데이터관리","업로드","매핑","매장/기간 매핑 설정","업로드 파일과 매장ID·데이터 기간을 수동 매핑 설정한다.","진행중","P0","매장 마스터 연동","1) 매핑 미설정 시 업로드 차단 2) 기간 중복 경고 표시 3) 매핑 이력 저장"
"점주홈","대시보드","핵심액션","오늘의 핵심 액션 3카드","점주가 오늘 바로 실행해야 할 액션 3개를 우선순위로 노출.","진행중","P0","액션 추천 API 운영","1) 최대 3개 표시 2) P0 우선 정렬 3) 액션별 실행 버튼 제공"
"점주홈","대시보드","핵심액션","액션 실행/보류 처리","카드 단위로 실행/보류/무시 상태를 변경한다.","진행중","P0","액션 상태 API 필요","1) 상태 변경 즉시 반영 2) 보류 사유 입력 3) 이력 조회 가능"
"점주홈","대시보드","핵심액션","액션 근거 보기","추천 이유, 근거 지표, 예상 효과를 모달로 제공한다.","진행중","P0","근거 데이터(evidence) 포함","1) 최소 3개 근거 노출 2) 데이터 시점 표기 3) 근거 없는 액션 차단"
"점주홈","대시보드","성과요약","매출/객수/PQ KPI 카드","전일/전주대비 증감률 포함 KPI 카드 제공.","진행중","P0","집계 API 가용","1) 증감률 계산 정확 2) 비교 기준 변경 가능 3) 단위 표기 일관성"
"점주홈","대시보드","트렌드","시간대별 매출 그래프","시간대별 매출 추이를 확인해 피크/비피크를 식별.","진행중","P0","시간대 집계 테이블 필요","1) 시간대 누락 없음 2) 툴팁 수치 정확 3) 다운로드 가능"
"점주홈","대시보드","트렌드","객단가/객수 분해 차트","매출 변화를 객수 요인과 객단가 요인으로 분해 표시.","미착수","P1","PQ 분해 API 필요","1) 합산값 일치 2) 기간 비교 지원 3) 해석 도움말 제공"
"점주홈","대시보드","마진가드","메뉴 마진 경보 위젯","원가 상승에 따른 마진 하락 메뉴를 경보 형태로 표시.","진행중","P0","마진가드 API 필요","1) 위험도 색상 구분 2) 권장가 표시 3) 경보 해제 이력 저장"
"점주홈","대시보드","리뷰","리뷰 감성 요약 위젯","긍정/부정 키워드와 대응 가이드를 요약 노출.","진행중","P1","리뷰 분석 결과 적재","1) 상위 키워드 10개 표시 2) 기간 필터 반영 3) 원문 드릴다운"
"점주홈","대시보드","브리핑","모닝 브리핑 카드","전일 실적/오늘 예측/필수공지 3요약을 제공.","진행중","P1","브리핑 생성 완료","1) 오전 지정시각 노출 2) 음성 재생 버튼 3) 미확인 강조"
