대분류,중분류,소분류,기능,설명,작업상태,우선순위,전제조건,인수조건
AI공통,거버넌스,버전관리,모델/프롬프트 버전 레지스트리,"에이전트별 모델, 프롬프트, 후처리 룰 버전을 관리.",미착수,P0,"버전 저장소 구축","1) 결과에 버전 태그 포함 2) 롤백 가능 3) 변경 이력 조회"
AI공통,거버넌스,실험관리,A/B 실험 프레임워크,"프롬프트/모델 변경 효과를 실험군/대조군으로 검증.",미착수,P1,"실험 대상 트래픽 분배","1) 실험 메타데이터 저장 2) 유의성 계산 3) 승자 자동 승격"
AI공통,품질,평가셋,오프라인 평가셋 자동 평가,"태스크별 정확도/일관성/근거충실도 점검.",미착수,P0,"평가셋 라벨링","1) 배포 전 품질게이트 2) 버전별 점수 기록 3) 미달시 배포 차단"
AI공통,품질,드리프트,입력 데이터 드리프트 감지,"운영 데이터 분포 변화 감지로 성능 저하 선제 대응. Raw 업로드 데이터의 분포 변화도 포함.",미착수,P1,"기준 분포 저장","1) 임계치 초과 경고 2) 영향 태스크 식별 3) 재학습 트리거"
AI공통,안전성,PII,개인정보 탐지/마스킹,"응답 내 개인정보를 탐지해 마스킹 처리.",미착수,P0,"PII 룰셋 정의","1) 주민/전화/메일 마스킹 2) 누락률 기준 이하 3) 위반로그 기록"
AI공통,안전성,정책필터,금칙/정책 위반 출력 차단,"정책 위반 답변 생성 시 차단 또는 안전 응답 대체.",미착수,P0,"정책 문서/룰 구성","1) 위반 응답 사용자 미노출 2) 대체 문구 제공 3) 차단 사유 저장"
AI공통,비용최적화,라우팅,모델 라우팅(Pro/Flash),"난이도에 따라 비용 효율적인 모델 선택.",미착수,P1,"난이도 분류기","1) 단순질문 Flash 우선 2) 실패시 Pro fallback 3) 비용 대시보드 집계"
AI공통,설명가능성,evidence,근거 데이터 첨부 규격화,"모든 권고/예측 결과에 근거 지표와 기간 명시. Raw 데이터 기반이므로 업로드 소스(파일명/일시)도 포함.",미착수,P0,"evidence 스키마 정의","1) 근거 없는 결과 차단 2) 업로드 소스 추적 가능 3) 감사 추적 가능"
AI공통,데이터충분성,검증,분석 전 데이터 충분성 검증,"AI 분석 실행 전 업로드 데이터의 볼륨·기간·품질이 분석 가능 수준인지 검증한다. Raw 데이터 기반 MVP에서 핵심 전제 조건.",미착수,P0,"분석별 최소 요건 정의","1) 불충분 시 분석 차단 및 사유 반환 2) 최소 요건 안내 메시지 생성 3) 부분 분석 허용 여부 표시"
AI공통,콜드스타트,처리,데이터 부족 시 콜드스타트 처리,"업로드 데이터가 적은 초기 또는 신규 매장 상태에서 분석 가능한 범위만 실행하고 나머지는 명확히 안내한다.",미착수,P0,"최소 분석 요건 정의","1) 데이터 부족 안내 메시지 생성 2) 가능한 분석만 실행 3) 권장 업로드 데이터 가이드 제공"
분석에이전트,매출진단,요인탐색,매출 하락 원인 Top3 도출,"PQ/시간대/채널/외부요인 결합 분석. Raw 업로드 데이터와 날씨 API 결합.",미착수,P0,"통합 피처셋 준비","1) 원인 Top3 출력 2) 근거 수치 포함 3) 상충 원인 최소화"
분석에이전트,매출진단,PQ해석,PQ 분해 해석 문장 생성,"객수/객단가 영향도를 경영 언어로 설명.",미착수,P1,"PQ 분해 결과 필요","1) 숫자-문장 일치 2) 해석 일관성 3) 과장 표현 금지"
분석에이전트,수익성,마진리스크해석,마진 하락 위험 해석,"메뉴별 리스크 원인과 대응 우선순위 제시.",미착수,P0,"마진가드 결과","1) 메뉴별 권고안 2) 기대효과 수치 3) 위험등급 근거 제시"
분석에이전트,수익성,결제수단해석,수단별 순수익 인사이트,"카드/현금/포인트 수단별 실익 차이 해석.",미착수,P1,"수수료/할인 데이터","1) 수단별 비교표 생성 2) 개선권고 포함 3) 근거식 표기"
분석에이전트,리뷰,감성분류,리뷰 감성 분류,"긍정/중립/부정을 분류하고 점수화.",미착수,P0,"리뷰 라벨셋","1) 정확도 목표 충족 2) 저신뢰 표시 3) 샘플 원문 제공"
분석에이전트,리뷰,이슈추출,주요 불만/칭찬 이슈 추출,"주제별 클러스터링으로 핵심 이슈 추출.",미착수,P1,"토픽 사전","1) 상위 이슈 5개 도출 2) 대표 문장 제공 3) 기간별 증감"
분석에이전트,리뷰,응답가이드,맞춤형 답변 초안 생성,"부정 리뷰 대응 템플릿과 개선 포인트 제안.",미착수,P1,"브랜드 톤가이드","1) 공손 톤 준수 2) 금칙어 미사용 3) 관리자 편집 가능"
분석에이전트,고객분석,RFM해석,RFM 세그먼트별 행동 해석,"VIP/이탈우려군 특성을 요약하고 리스크 제시.",미착수,P0,"RFM 산출물","1) 세그먼트별 요약 2) 기회/리스크 동시 제시 3) 실행 액션 연결"
분석에이전트,고객분석,이탈탐지해석,이탈징후 원인 설명,"방문주기 지연 원인 가설과 대응책 생성.",미착수,P0,"이탈 점수/이력","1) 원인 가설 3개 2) 우선대상 제시 3) 쿠폰 전략 연계"
분석에이전트,운영분석,회전율해석,테이블 회전율 병목 분석,"피크타임 체류 원인을 찾아 운영 개선안 제안.",미착수,P1,"테이블 로그","1) 병목 구간 식별 2) 개선 시뮬레이션 3) 실행 난이도 표기"
분석에이전트,리스크,이상탐지설명,이상 결제/누수 원인 추론,"비정상 이벤트에 대한 가능한 원인과 조치안 생성.",미착수,P0,"이상 이벤트 피드","1) 조치안 포함 2) 오탐 가능성 제시 3) 재발방지 체크리스트"
분석에이전트,SV분석,구역진단,SV 구역 전체 인사이트 생성,"담당 매장군의 공통 이슈 패턴과 구역 수준 개선 방향을 도출한다. 위험/주의/정상 등급 분류 근거 및 코칭 우선순위 순서도 포함.",미착수,P1,"담당 매장 집계 결과","1) 구역 공통 패턴 식별 2) 상위/하위 매장 비교 해석 3) SV 코칭 우선순위 제시 4) 위험도 점수 산출 근거(매출/마진/이탈/공지이행 가중합산) 설명 포함"
분석에이전트,SV분석,매장상태해석,매장별 현황 핵심 이슈 해석,"SV 현황판의 각 매장 지표를 자연어로 요약하고 개입 필요 여부를 판단한다. 마지막 SV 방문 이후 변화 중심으로 델타 분석 포함.",미착수,P1,"매장별 집계 결과","1) 매장별 핵심 이슈 1~2문장 2) 개입 필요도 점수 3) 권장 대응 액션 4) 마지막 방문 이후 지표 변화(델타) 요약"
분석에이전트,SV분석,방문사전분석,SV 방문 준비 사전 분석,"방문 대상 매장의 이슈 우선순위·코칭 포인트·미이행 액션 현황·추천 대화 주제를 구조화하여 방문 리포트용 데이터를 생성한다.",미착수,P1,"매장 분석 결과 집계","1) 이슈 우선순위 Top3 2) 코칭 질문 목록 3점주와의 추천 대화 주제 3개 4) 미이행 액션 목록 및 보류 기간 5) 30초 이내 생성"
